dataset			CE		PC		CS		DB		DI		Silhouette
dataset_0			0.136	0.940	9.98	0.242	0.439	0.836	
dataset_1			0.201	0.899	14.31	0.429	0.180	0.760
dataset_2			0.442	0.765	27.89	0.680	0.012	0.558
dataset_3			0.505	0.725	37.35	0.879	0.008	0.456
dataset_4			0.522	0.715	37.20	0.981	0.006	0.418	

dataset_00		0.028	0.991	3.836	0.091	3.368	0.937
dataset_01		0.075	0.968	6.499	0.176	0.768	0.883
dataset_02		0.284	0.864	17.31	0.396	0.161	0.714
dataset_03		0.431	0.770	28.37	0.654	0.003	0.531
dataset_04		0.453	0.760	26.79	0.642	0.020	0.551
dataset_05		0.612	0.659	43.01	1.049	0.005	0.334
dataset_06		0.611	0.660	40.23	0.970	0.003	0.348
dataset_07		0.792	0.540	90.73	2.06	0.001	0.064

dataset_001		0.293	0.860	17.67	0.411	0.179	0.710
dataset_002		0.396	0.799	22.99	0.522	0.069	0.620
dataset_003		0.509	0.726	29.82	0.677	0.011	0.505		
dataset_004		0.347	0.817	22.42	0.653	0.009	0.599


dataset_0000		0.045	0.999	1.379	0.0313	13.69	0.978
dataset_0001		0.067	0.976	6.713	0.155	1.955	0.890
dataset_0002		0.200	0.910	13.75	0.313	0.331	0.770
dataset_0003		0.330	0.837	20.20	0.459	0.137	0.665
dataset_0004		0.579	0.684	40.50	0.967	0.003	0.344
dataset_xxxx.		0.715	0.588	65.86	1.47	0.001	0.174
 
